ephi_pca.sample.id	pop1	EV1	EV2
GAAB092408-EPHI-622I-1	Abol	0.0732642115851542	-0.0199877297063323
ETMT551-EPHI-622I-1	Metehara	-0.000382936448536954	-0.000190748951352673
ETMT550-EPHI-622I-1	Metehara	-0.0291513840519346	-0.023322593276738
ETMT549-EPHI-622I-1	Metehara	-0.0315957206800001	-0.0363141333363468
ETMT548-EPHI-622I-1	Metehara	0.00828076491952556	-0.0204963666420395
ETMT547-EPHI-622I-1	Metehara	0.00229532425021402	-0.0451892817042281
GAAB092564-EPHI-622I-1	Abol	0.0766716856883917	-0.0247562885260396
ETMT546-EPHI-622I-1	Metehara	-0.0170130993188469	-0.0263099058866918
GAAB092497-EPHI-622I-1	Abol	0.079005789530424	-0.0218186318272562
ETMT543-EPHI-622I-1	Metehara	-0.0213640025460065	0.00203186673147139
ETMT542-EPHI-622I-1	Metehara	-0.00516285747076629	-0.0180805150483879
ORME040670-EPHI-622I-1	Metehara	0.00179725033448277	-0.00658299020584843
ETMT540-EPHI-622I-1	Metehara	-0.0230991810303711	-0.0306308261096023
ETMT561-EPHI-622I-1	Metehara	-0.0320169920626696	-0.0338028849307991
ETMT539-EPHI-622I-1	Metehara	-0.0315957206800001	-0.0363141333363468
ETMT538-EPHI-622I-1	Metehara	-0.0175754410275832	0.00175291544217066
ETMT537-EPHI-622I-1	Metehara	-0.0181707438735096	-0.019304763461747
ETMT528-EPHI-622I-1	Metehara	0.0131204590142372	0.00500803233791465
SNSE072127-EPHI-622I-1	Secha	0.0216144095303349	-0.00105393003448594
ETMT526-EPHI-622I-1	Metehara	-0.0305317029243765	-0.0245698625136646
ETMT523-EPHI-622I-1	Metehara	-0.0311864698734651	-0.0359244339960647
ORME040689-EPHI-622I-1	Metehara	0.0362476873979895	-0.0259566286386523
ETMT521-EPHI-622I-1	Metehara	-0.0233106249507985	-0.0191775970535955
ETMT520-EPHI-622I-1	Metehara	-0.0347884601984774	-0.0210786527632745
GAAB092510-EPHI-622I-1	Abol	0.0719550933590894	-0.0198583454065683
ETMT516-EPHI-622I-1	Metehara	-0.0101702147307333	-0.0111040385925874
ET-SL-1512-EPHI-622I-1	sheele	-0.000872163697901093	-0.0220890848934332
ET-SL-1511-EPHI-622I-1	sheele	-0.000904926405911943	-0.0220784950150978
ET-SL-1510-EPHI-622I-1	sheele	-0.0100274121557098	-0.00848145023113675
ET-SL-1509-EPHI-622I-1	sheele	-0.0100274121557098	-0.00848145023113675
ET-SL-1502-EPHI-622I-1	sheele	0.016307510749729	0.0350458017760761
ET-SL-1501-EPHI-622I-1	sheele	-0.0388249306697442	-0.0187913795152304
ET-SL-1499-EPHI-622I-1	sheele	-0.0386672539804142	-0.0184645230842895
ORME040647-EPHI-622I-1	Metehara	0.0374850979419784	0.0201375080901386
ET-SL-1498-EPHI-622I-1	sheele	-0.00197175588544995	-0.00956980850761745
SNSE072136-EPHI-622I-1	Secha	0.00346502516430694	-0.018591552644052
ET-SL-1497-EPHI-622I-1	sheele	-0.0175402814341568	-0.0061698237150285
ET-SL-1494-EPHI-622I-1	sheele	0.000556278034994709	-0.00220120141911028
ET-SL-1493-EPHI-622I-1	sheele	-0.00778877589522932	-0.00666928402934455
ET-SL-1492-EPHI-622I-1	sheele	-0.00771248177345014	-0.00676706024061645
ET-SL-1491-EPHI-622I-1	sheele	0.000938732545243787	-0.00232305802919451
ET-SL-1489-EPHI-622I-1	sheele	-0.00769979136565826	-0.0067668913164491
ET-SL-1487-EPHI-622I-1	sheele	-0.0197831884084793	-0.0116331348049632
ET-SL-1485-EPHI-622I-1	sheele	-0.0204290676907046	-0.024141838210762
ET-SL-1484-EPHI-622I-1	sheele	-0.0220804255575557	-0.00992006414517241
ET-SL-1482-EPHI-622I-1	sheele	-0.0031806396959974	-0.00228192086929467
ET-SL-1481-EPHI-622I-1	sheele	-0.0197831884084793	-0.0116331348049632
SNSE072144-EPHI-622I-1	Secha	-0.0286907894387349	-0.00992357865421306
ET-SL-1480-EPHI-622I-1	sheele	-0.0197831884084793	-0.0116331348049632
ET-SL-1478-EPHI-622I-1	sheele	0.0180879827324253	0.00428566787998461
ET-SL-1476-EPHI-622I-1	sheele	0.00746606890847152	0.0139933720703424
SNSE072129-EPHI-622I-1	Secha	-0.0307223394181824	-0.0227037544953238
ET-SL-1473-EPHI-622I-1	sheele	-0.0130022642514994	-0.0194988067147028
ET-SL-1472-EPHI-622I-1	sheele	-0.0112797667298392	-0.0203299466162241
ET-SL-1470-EPHI-622I-1	sheele	-0.00878963646235882	-0.0160509032251105
GAAB092464-EPHI-622I-1	Abol	0.0626131180697987	-0.0236068471133057
ET-SL-1469-EPHI-622I-1	sheele	-0.00847334477792039	-0.0149922139600977
ET-SL-1467-EPHI-622I-1	sheele	-0.0338945482449011	-0.0139697925054468
ORME040610-EPHI-622I-1	Metehara	-0.0278932035141634	-0.0217798989056978
ET-SL-1463-EPHI-622I-1	sheele	-0.0345502376816066	-0.026455605736711
SOER052742-EPHI-622I-1	Erer	-0.0315957206800001	-0.0363141333363468
ET-SL-1460-EPHI-622I-1	sheele	-0.0278575217223154	0.0258346923325573
SNSE072148-EPHI-622I-1	Secha	0.0228739226914003	0.0235144382406102
ET-SL-1458-EPHI-622I-1	sheele	-0.0164838730798652	0.00184520355659671
ET-SL-1455-EPHI-622I-1	sheele	-0.014950084435309	-0.00883519456211969
ET-SL-1411-EPHI-622I-1	sheele	-0.000887527529482542	-0.0220856431643974
ET-SL-1351-EPHI-622I-1	sheele	-0.0314648602460388	-0.0258961680485892
SND1071816-EPHI-622I-1	Dila	-0.00920924359904462	-0.0465789251506199
ET-SL-1319-EPHI-622I-1	sheele	0.00689342043508348	-0.000376591900208288
GAAB092530-EPHI-622I-1	Abol	0.0757031684226059	-0.00529997705874746
ET-SL-1262-EPHI-622I-1	sheele	0.00621585034184657	-0.00137449391665019
ET-SL-1257-EPHI-622I-1	sheele	-0.0113948790672115	0.00725032623279899
ET-SL-1227-EPHI-622I-1	sheele	-0.00196677512488629	-0.00957147509082587
ET-SL-1217-EPHI-622I-1	sheele	-0.0277661066821724	-0.0197862071859483
AMWO031519-EPHI-622I-1	Woreta	-0.00312288713069132	0.0426157653616614
AMWO031509-EPHI-622I-1	Woreta	0.00972100796751661	0.108371848193624
AMAN030946-EPHI-622I-1	Andansa	-0.0299134420324133	0.0421864097859668
ORAS040030-EPHI-622I-1	Asendabo	-0.000798400672223715	-0.0010691725251408
AMJI031225-EPHI-622I-1	Jiga	-0.0191626294776878	0.0118473586828896
AMJI031316-EPHI-622I-1	Jiga	0.00961701279847919	0.109032372213865
AMJI031308-EPHI-622I-1	Jiga	0.00961701279847919	0.109032372213865
ORME040677-EPHI-622I-1	Metehara	-0.0196917621937057	-0.018413332768019
AMJI031306-EPHI-622I-1	Jiga	-0.0197296224111508	0.0260874321376529
AMAN031021-EPHI-622I-1	Andansa	0.008439360088812	0.0279326952904414
ORME040684-EPHI-622I-1	Metehara	-0.0308514176602272	-0.0368446798095707
AMJI031332-EPHI-622I-1	Jiga	0.00258930433521839	-0.0145529365698443
SNSE072117-EPHI-622I-1	Secha	-0.0312315431562674	-0.0226389774437477
GAAB092549-EPHI-622I-1	Abol	0.0754410940298401	-0.0171588240858046
GAAB092538-EPHI-622I-1	Abol	0.0658093262270031	-0.0145566914609653
AMJI031298-EPHI-622I-1	Jiga	-0.022793127630626	-0.0050260432028714
AMJI031296-EPHI-622I-1	Jiga	-0.0331253723884899	-0.00579552914837401
ET-LT-896-EPHI-622I-1	Lante	0.0166682042952581	-0.00707196539355449
AMJI031282-EPHI-622I-1	Jiga	0.00723747280978541	0.0307428581090048
AMWO031523-EPHI-622I-1	Woreta	-0.00825784972950119	0.013676963898143
SNSE072142-EPHI-622I-1	Secha	-0.00448096924579345	0.00348617136287848
AMJI031280-EPHI-622I-1	Jiga	0.00962065061633577	0.108999482086365
AMJI031274-EPHI-622I-1	Jiga	0.00961701279847919	0.109032372213865
ET-MT-388-EPHI-622I-1	Metehara	-0.00206211465176535	-0.0202051339314527
AMJI031268-EPHI-622I-1	Jiga	0.0117321758571666	0.0757464437185661
AMJI031259-EPHI-622I-1	Jiga	0.00768445666832823	0.0718304612567431
AMJI031323-EPHI-622I-1	Jiga	-0.0353707478853924	-0.00333387388452212
AMJI031210-EPHI-622I-1	Jiga	-0.0282707626155423	0.000784128560454313
AMJI031214-EPHI-622I-1	Jiga	-0.0236240698774065	-0.00487645793637811
ET-MT-480-EPHI-622I-1	Metehara	-0.0462634985275031	-0.0180452819211052
AMJI031256-EPHI-622I-1	Jiga	0.0119510185465251	0.0185548155815195
GAAB092522-EPHI-622I-1	Abol	0.0621930932632914	-0.0283025120030082
AMAN030930-EPHI-622I-1	Andansa	-0.0321967813800892	0.00901310776566117
ET-MT-485-EPHI-622I-1	Metehara	-0.0149226560424443	-0.015233590762703
GAAB092462-EPHI-622I-1	Abol	0.0798824848991841	-0.028442322801301
AMJI031253-EPHI-622I-1	Jiga	0.00964870485570908	0.108996209281496
AMJI031249-EPHI-622I-1	Jiga	0.0119663823781066	0.0185513738524837
ET-SL-1466-EPHI-622I-1	sheele	-0.00884288103234495	-0.0160277900411685
AMJI031287-EPHI-622I-1	Jiga	0.00244160296883466	0.00682502577325673
SNSE072138-EPHI-622I-1	Secha	-0.0156391673469567	-0.0134829194568361
AMJI031247-EPHI-622I-1	Jiga	-0.0352615232226243	-0.00303858199715942
ETMT535-EPHI-622I-1	Metehara	-0.00296711420259724	0.00218608001389115
ET-LT-745-EPHI-622I-1	Lante	-0.0013658890373722	-0.0698571839836684
ORME040644-EPHI-622I-1	Metehara	-0.0182871025579087	-0.00878879682296457
AMJI031277-EPHI-622I-1	Jiga	0.033915483235421	0.0198381937079377
AMJI031250-EPHI-622I-1	Jiga	0.00961701279847919	0.109032372213865
AMAN030972-EPHI-622I-1	Andansa	-0.015559001179071	0.0127868353511945
GAAB092536-EPHI-622I-1	Abol	0.0812389046540352	-0.0322751591684341
GAAB092438-EPHI-622I-1	Abol	0.0592170258603151	-0.00486154460644951
